"RegionName","Year","Month","Portion"
"94518",2009,7,0.475594
"94947",2009,7,0.293649
"95054",2009,7,0.236869
"94607",2009,7,0.459489
"94619",2009,7,0.444643
"94107",2009,7,0.088685
"94103",2009,7,0.109298
"94085",2009,7,0.285205
"95032",2009,7,0.048668
"94579",2009,7,0.211176
"95135",2009,7,0.111435
"94547",2009,7,0.69474
"95118",2009,7,0.197037
"94609",2009,7,0.326683
"94030",2009,7,0.037302
"94519",2009,7,0.413246
"94564",2009,7,0.59909
"94596",2009,7,0.314843
"94803",2009,7,0.704073
"94588",2009,7,0.110761
"94506",2009,7,0.100532
"95138",2009,7,0.297778
"94089",2009,7,0.309829
"95126",2009,7,0.125568
"95110",2009,7,0.519064
"94502",2009,7,0.065278
"94595",2009,7,0.025926
"94805",2009,7,0.592659
"94702",2009,7,0.347125
"94960",2009,7,0.035294
"94563",2009,7,0.026049
"94945",2009,7,0.253868
"94552",2009,7,0.123215
"94618",2009,7,0.073529
"94705",2009,7,0.176471
"94965",2009,7,0.181818
"94556",2009,7,0.057633
"94507",2009,7,0.152941
"94597",2009,7,0.13125
"94949",2009,7,0.1725
"94065",2009,7,0.078402
"95030",2009,7,0.070513
"94517",2009,7,0.147273
"95130",2009,7,0.134403
"94572",2009,7,0.736323
"94505",2009,7,0.59991
"94105",2009,7,0.021932
"94565",2009,8,0.72128
"94112",2009,8,0.223675
"94544",2009,8,0.616653
"94110",2009,8,0.043363
"94587",2009,8,0.367746
"95035",2009,8,0.198126
"94538",2009,8,0.352868
"94501",2009,8,0.067273
"94536",2009,8,0.297166
"94513",2009,8,0.545303
"95111",2009,8,0.53182
"95127",2009,8,0.535331
"94806",2009,8,0.675737
"95123",2009,8,0.45148
"94509",2009,8,0.649896
"94122",2009,8,0.035342
"94080",2009,8,0.242516
"95122",2009,8,0.62423
"94015",2009,8,0.340753
"94541",2009,8,0.555823
"95020",2009,8,0.524639
"94087",2009,8,0.04902
"95051",2009,8,0.129069
"95125",2009,8,0.114615
"94539",2009,8,0.052725
"95112",2009,8,0.375647
"95116",2009,8,0.633252
"95148",2009,8,0.388101
"94601",2009,8,0.720978
"94014",2009,8,0.492124
"94550",2009,8,0.26405
"94553",2009,8,0.379037
"95136",2009,8,0.362077
"94901",2009,8,0.138563
"95037",2009,8,0.285913
"94086",2009,8,0.072632
"94025",2009,8,0.034931
"94560",2009,8,0.497083
"95008",2009,8,0.104825
"94577",2009,8,0.401115
"94303",2009,8,0.379163
"94116",2009,8,0.040887
"94546",2009,8,0.314001
"95124",2009,8,0.120083
"94551",2009,8,0.368499
"95129",2009,8,0.024641
"94605",2009,8,0.539614
"94066",2009,8,0.233672
"94403",2009,8,0.090536
"94010",2009,8,0.024418
"94520",2009,8,0.675858
"95132",2009,8,0.251145
"94117",2009,8,0.050461
"94583",2009,8,0.178412
"94124",2009,8,0.5125
"94568",2009,8,0.125069
"94555",2009,8,0.177035
