"RegionName","Year","Month","AllHomes","X3To4Bed"
"94014",1996,8,200400,233500
"94014",1996,9,199800,233400
"94014",1996,10,200000,233350
"94014",1996,11,201200,234650
"94014",1996,12,203200,237000
"94014",1997,1,205900,238900
"94014",1997,2,208300,240800
"94014",1997,3,209600,243150
"94014",1997,4,210400,245300
"94014",1997,5,211300,246600
"94014",1997,6,211900,247450
"94014",1997,7,212600,248000
"94014",1997,8,213800,249050
"94014",1997,9,215300,250750
"94014",1997,10,216800,253150
"94014",1997,11,218400,255600
"94014",1997,12,220200,258450
"94014",1998,1,222000,261300
"94014",1998,2,224300,264450
"94014",1998,3,226300,267750
"94014",1998,4,228200,271300
"94014",1998,5,229900,273300
"94014",1998,6,231800,274850
"94014",1998,7,233300,276100
"94014",1998,8,235500,277450
"94014",1998,9,237800,279150
"94014",1998,10,240900,282250
"94014",1998,11,244700,286250
"94014",1998,12,248300,291150
"94014",1999,1,251300,295200
"94014",1999,2,254400,297400
"94014",1999,3,257700,299200
"94014",1999,4,260800,302400
"94014",1999,5,263900,305950
"94014",1999,6,267700,309600
"94014",1999,7,271500,314050
"94014",1999,8,275100,318850
"94014",1999,9,279500,324300
"94014",1999,10,284500,330500
"94014",1999,11,290600,337600
"94014",1999,12,297900,345550
"94014",2000,1,305300,354250
"94014",2000,2,312100,362950
"94014",2000,3,319000,370700
"94014",2000,4,327800,378800
"94014",2000,5,338900,389650
"94014",2000,6,348900,399450
"94014",2000,7,356600,406450
"94014",2000,8,364400,412750
"94014",2000,9,370400,417400
"94014",2000,10,373300,419150
"94014",2000,11,375700,420750
"94014",2000,12,377000,420950
"94014",2001,1,377900,421050
"94014",2001,2,380700,422800
"94014",2001,3,384400,426500
"94014",2001,4,384100,428100
"94014",2001,5,381200,427050
"94014",2001,6,379100,426150
"94014",2001,7,378400,426750
"94014",2001,8,378200,427600
"94014",2001,9,379400,429600
"94014",2001,10,381800,431950
"94014",2001,11,384400,433200
"94014",2001,12,386800,434750
"94014",2002,1,388100,437650
"94014",2002,2,390600,442250
"94014",2002,3,395300,448100
"94014",2002,4,400500,453750
"94014",2002,5,405500,460050
"94014",2002,6,412300,468850
"94014",2002,7,420100,479550
"94014",2002,8,425900,488550
"94014",2002,9,429800,493300
"94014",2002,10,432700,495100
"94014",2002,11,433100,495500
"94014",2002,12,431200,494650
"94014",2003,1,430000,493700
"94014",2003,2,429700,493650
"94014",2003,3,430000,494750
"94014",2003,4,431700,497150
"94014",2003,5,434600,500750
"94014",2003,6,437900,503900
"94014",2003,7,441600,506250
"94014",2003,8,447100,510550
"94014",2003,9,455800,520100
"94014",2003,10,465200,531600
"94014",2003,11,474600,542700
"94014",2003,12,487400,554550
"94014",2004,1,503600,567100
"94014",2004,2,517300,578250
"94014",2004,3,526500,587600
"94014",2004,4,535400,597000
"94014",2004,5,542600,604900
"94014",2004,6,548600,612800
"94014",2004,7,556700,622550
"94014",2004,8,566500,633100
"94014",2004,9,574100,641550
"94014",2004,10,581100,649850
"94014",2004,11,590100,659600
"94014",2004,12,600700,670550
"94014",2005,1,610400,681050
"94014",2005,2,620500,690750
"94014",2005,3,631900,700700
"94014",2005,4,641700,710300
"94014",2005,5,649800,717950
"94014",2005,6,657200,723550
"94014",2005,7,663500,727800
"94014",2005,8,667800,731700
"94014",2005,9,671100,735850
"94014",2005,10,674500,739650
"94014",2005,11,678500,744500
"94014",2005,12,681400,749850
"94014",2006,1,683700,754800
"94014",2006,2,685100,758550
"94014",2006,3,684400,760200
"94014",2006,4,682200,759550
"94014",2006,5,681200,760000
"94014",2006,6,680000,761200
"94014",2006,7,678800,761150
"94014",2006,8,679400,761300
"94014",2006,9,681100,762150
"94014",2006,10,682600,764450
"94014",2006,11,682900,765250
"94014",2006,12,681600,762600
"94014",2007,1,680000,759300
"94014",2007,2,680100,759700
"94014",2007,3,682100,763200
"94014",2007,4,685900,766300
"94014",2007,5,689900,767100
"94014",2007,6,690800,765700
"94014",2007,7,690100,764850
"94014",2007,8,687600,761350
"94014",2007,9,682600,754250
"94014",2007,10,675500,745350
"94014",2007,11,667700,736500
"94014",2007,12,655300,726100
"94014",2008,1,640000,714300
"94014",2008,2,625200,700550
"94014",2008,3,612300,684850
"94014",2008,4,602600,671300
"94014",2008,5,593800,660950
"94014",2008,6,583500,651050
"94014",2008,7,569500,639400
"94014",2008,8,554500,626900
"94014",2008,9,541000,614250
"94014",2008,10,529200,601300
"94014",2008,11,516000,587750
"94014",2008,12,505200,576800
"94014",2009,1,498500,569250
"94014",2009,2,492400,561550
"94014",2009,3,486000,553950
"94014",2009,4,480200,548250
"94014",2009,5,476000,544150
"94014",2009,6,473500,541200
"94014",2009,7,472400,539250
"94014",2009,8,471800,539050
"94014",2009,9,472600,541400
"94014",2009,10,475100,545100
"94014",2009,11,477700,547600
"94014",2009,12,479700,547700
"94014",2010,1,480100,546350
"94014",2010,2,480000,545050
"94014",2010,3,478600,543100
